Deck Title,Card Quantity,Card Code
OP12  Jewelry Bonney Decklist,1,OP07-019
OP12  Jewelry Bonney Decklist,4,EB01-015
OP12  Jewelry Bonney Decklist,3,ST02-004
OP12  Jewelry Bonney Decklist,4,ST02-007
OP12  Jewelry Bonney Decklist,4,OP05-030
OP12  Jewelry Bonney Decklist,4,OP01-033
OP12  Jewelry Bonney Decklist,4,OP10-032
OP12  Jewelry Bonney Decklist,3,OP07-021
OP12  Jewelry Bonney Decklist,4,EB01-012
OP12  Jewelry Bonney Decklist,4,OP08-023
OP12  Jewelry Bonney Decklist,4,OP06-035
OP12  Jewelry Bonney Decklist,3,OP01-051
OP12  Jewelry Bonney Decklist,3,ST16-004
OP12  Jewelry Bonney Decklist,3,OP04-031
OP12  Jewelry Bonney Decklist,2,OP05-037
OP12  Jewelry Bonney Decklist,1,OP12-037
